zona,capacidad_base_firme,uso_base_firme,capacidad_base_temporal,uso_base_temporal,maxima_base_interrumpible,minima_base_interrumpible,volumetrica,fecha_inicio,fecha_fin
Sur,1.52306,0.01585,1.53894,0.01585,1.52392,0.01585,1.64799,2016-01-01,2016-03-31
Centro,2.84902,0.03021,2.87937,0.03021,2.85117,0.03021,3.0851,2016-01-01,2016-03-31
Occidente,1.57302,0.01552,1.58855,0.01552,1.57293,0.01552,1.70009,2016-01-01,2016-03-31
Golfo,3.06847,0.02751,3.09649,0.02751,3.06658,0.02751,3.30889,2016-01-01,2016-03-31
Norte,4.34706,0.0446,4.39141,0.0446,4.34791,0.0446,4.70128,2016-01-01,2016-03-31
Istmo,5.83799,0.04341,5.88118,0.04341,5.82424,0.04341,6.82801,2016-01-01,2016-03-31
Nacional,0.26488,0,0.26488,0,0.26226,0,0.27909,2016-01-01,2016-03-31
Nacional con AB,3.37271,0,3.37271,0,3.37009,0,3.38692,2016-01-01,2016-03-31
Sur,1.52306,0.01585,1.53894,0.01585,1.52392,0.01585,1.64799,2016-04-01,2016-04-30
Centro,2.84902,0.03021,2.87937,0.03021,2.85117,0.03021,3.0851,2016-04-01,2016-04-30
Occidente,1.57302,0.01552,1.58855,0.01552,1.57293,0.01552,1.70009,2016-04-01,2016-04-30
Golfo,3.06847,0.02751,3.09649,0.02751,3.06658,0.02751,3.30889,2016-04-01,2016-04-30
Norte,4.34706,0.0446,4.39141,0.0446,4.34791,0.0446,4.70128,2016-04-01,2016-04-30
Istmo,5.83799,0.04341,5.88118,0.04341,5.82424,0.04341,6.82801,2016-04-01,2016-04-30
Nacional,0.26488,0,0.26488,0,0.26226,0,0.27909,2016-04-01,2016-04-30
Nacional con AB,1.50403,0,1.50403,0,1.48914,0,1.58452,2016-04-01,2016-04-30
Sur,2.12802,0.01585,2.1439,0.01585,2.12289,0.01585,2.32662,2016-05-01,2016-06-30
Centro,3.85856,0.03021,3.88891,0.03021,3.85071,0.03021,4.21937,2016-05-01,2016-06-30
Occidente,3.5248,0.01552,3.54033,0.01552,3.50538,0.01552,3.85543,2016-05-01,2016-06-30
Golfo,4.68277,0.02751,4.71079,0.02751,4.6649,0.02751,5.12157,2016-05-01,2016-06-30
Norte,6.29288,0.0446,6.33723,0.0446,6.27446,0.0446,6.87983,2016-05-01,2016-06-30
Istmo,6.63339,0.04341,6.67658,0.04341,6.61177,0.04341,7.72615,2016-05-01,2016-06-30
Nacional,0.27081,0,0.27081,0,0.26813,0,0.2963,2016-05-01,2016-06-30
Nacional con AB,1.46382,0,1.46382,0,1.44933,0,1.60173,2016-05-01,2016-06-30
Sur,2.12802,0.01585,2.1439,0.01585,2.12289,0.01585,2.32662,2016-07-01,2016-09-30
Centro,3.85856,0.03021,3.88891,0.03021,3.85071,0.03021,4.21937,2016-07-01,2016-09-30
Occidente,3.5248,0.01552,3.54033,0.01552,3.50538,0.01552,3.85543,2016-07-01,2016-09-30
Golfo,4.68277,0.02751,4.71079,0.02751,4.6649,0.02751,5.12157,2016-07-01,2016-09-30
Norte,6.29288,0.0446,6.33723,0.0446,6.27446,0.0446,6.87983,2016-07-01,2016-09-30
Istmo,6.63339,0.04341,6.67658,0.04341,6.61177,0.04341,7.72615,2016-07-01,2016-09-30
Nacional,0.27081,0,0.27081,0,0.26813,0,0.2963,2016-07-01,2016-09-30
Nacional con AB,1.22638,0,1.22638,0,1.21424,0,1.34192,2016-07-01,2016-09-30
Sur,2.12802,0.01585,2.1439,0.01585,2.12289,0.01585,2.32662,2016-10-01,2016-12-31
Centro,3.85856,0.03021,3.88891,0.03021,3.85071,0.03021,4.21937,2016-10-01,2016-12-31
Occidente,3.5248,0.01552,3.54033,0.01552,3.50538,0.01552,3.85543,2016-10-01,2016-12-31
Golfo,4.68277,0.02751,4.71079,0.02751,4.6649,0.02751,5.12157,2016-10-01,2016-12-31
Norte,6.29288,0.0446,6.33723,0.0446,6.27446,0.0446,6.87983,2016-10-01,2016-12-31
Istmo,6.63339,0.04341,6.67658,0.04341,6.61177,0.04341,7.72615,2016-10-01,2016-12-31
Nacional,0.27081,0,0.27081,0,0.26813,0,0.2963,2016-10-01,2016-12-31
Nacional con AB,1.79636,0,1.79636,0,1.77857,0,1.9656,2016-10-01,2016-12-31
Sur,2.36148,0.01713,2.37864,0.01713,2.35533,0.01713,2.58192,2017-01-01,2017-03-31
Centro,4.27568,0.03265,4.30848,0.03265,4.26616,0.03265,4.67557,2017-01-01,2017-03-31
Occidente,3.957,0.01678,3.97378,0.01678,3.93455,0.01678,4.32823,2017-01-01,2017-03-31
Golfo,5.22776,0.02974,5.25804,0.02974,5.20679,0.02974,5.71771,2017-01-01,2017-03-31
Norte,6.99284,0.04821,7.04078,0.04821,6.97104,0.04821,7.64526,2017-01-01,2017-03-31
Istmo,7.25957,0.04692,7.30625,0.04692,7.23531,0.04692,8.44919,2017-01-01,2017-03-31
Nacional,0.21971,0,0.21971,0,0.21754,0,0.24039,2017-01-01,2017-03-31
Nacional con AB,1.797097521,0,1.797097521,0,1.779304476,0,1.96641,2017-01-01,2017-03-31
Sur,2.36148,0.01713,2.37864,0.01713,2.35533,0.01713,2.58192,2017-04-01,2017-06-30
Centro,4.27568,0.03265,4.30848,0.03265,4.26616,0.03265,4.67557,2017-04-01,2017-06-30
Occidente,3.957,0.01678,3.97378,0.01678,3.93455,0.01678,4.32823,2017-04-01,2017-06-30
Golfo,5.22776,0.02974,5.25804,0.02974,5.20679,0.02974,5.71771,2017-04-01,2017-06-30
Norte,6.99284,0.04821,7.04078,0.04821,6.97104,0.04821,7.64526,2017-04-01,2017-06-30
Istmo,7.25957,0.04692,7.30625,0.04692,7.23531,0.04692,8.44919,2017-04-01,2017-06-30
Nacional,0.21971,0,0.21971,0,0.21754,0,0.24039,2017-04-01,2017-06-30
Nacional con AB,2.789398474,0,2.789398474,0,2.761780667,0,3.0522,2017-04-01,2017-06-30
Sur,2.36148,0.01713,2.37864,0.01713,2.35533,0.01713,2.58192,2017-07-01,2017-09-30
Centro,4.27568,0.03265,4.30848,0.03265,4.26616,0.03265,4.67557,2017-07-01,2017-09-30
Occidente,3.957,0.01678,3.97378,0.01678,3.93455,0.01678,4.32823,2017-07-01,2017-09-30
Golfo,5.22776,0.02974,5.25804,0.02974,5.20679,0.02974,5.71771,2017-07-01,2017-09-30
Norte,6.99284,0.04821,7.04078,0.04821,6.97104,0.04821,7.64526,2017-07-01,2017-09-30
Istmo,7.25957,0.04692,7.30625,0.04692,7.23531,0.04692,8.44919,2017-07-01,2017-09-30
Nacional,0.21971,0,0.21971,0,0.21754,0,0.24039,2017-07-01,2017-09-30
Nacional con AB,-0.566680529,0,-0.566680529,0,-0.561069831,0,-0.62007,2017-07-01,2017-09-30
Sur,2.36148,0.01713,2.37864,0.01713,2.35533,0.01713,2.58192,2017-10-01,2017-12-31
Centro,4.27568,0.03265,4.30848,0.03265,4.26616,0.03265,4.67557,2017-10-01,2017-12-31
Occidente,3.957,0.01678,3.97378,0.01678,3.93455,0.01678,4.32823,2017-10-01,2017-12-31
Golfo,5.22776,0.02974,5.25804,0.02974,5.20679,0.02974,5.71771,2017-10-01,2017-12-31
Norte,6.99284,0.04821,7.04078,0.04821,6.97104,0.04821,7.64526,2017-10-01,2017-12-31
Istmo,7.25957,0.04692,7.30625,0.04692,7.23531,0.04692,8.44919,2017-10-01,2017-12-31
Nacional,0.21971,0,0.21971,0,0.21754,0,0.24039,2017-10-01,2017-12-31
Nacional con AB,-0.72323,0,-0.72323,0,-0.71607,0,-0.79139,2017-10-01,2017-12-31
